Date,Close,High,Low,Open,Volume,Daily_Range,OC_Change
2024-06-25,207.2744903564453,209.56464939365068,206.8184342324815,207.35378999494392,55549700,2.746215161169175,-0.038243640736224174
2024-06-26,211.41860961914062,213.0147835489249,208.83102368645302,209.68363861405976,66213200,4.183759862471874,0.8274231678486963
2024-06-27,212.2613067626953,213.88722177256454,210.5263358320774,212.8462361886446,49772700,3.360885940487151,-0.27481314042634875
2024-06-28,208.8111572265625,214.21436386520998,208.49391330369318,213.91693728719588,82542700,5.720450561516799,-2.386804955878072
2024-07-01,214.88851928710938,215.6419868499251,210.09999821846176,210.2685364182596,60402900,5.54198863146334,2.1971822068803717
2024-07-02,218.37831115722656,218.4873670751859,213.25271326862932,214.2936836981781,58046200,5.234653806556565,1.90608859232708
2024-07-03,219.64732360839844,219.64732360839844,217.1489612238199,218.11063203893852,37369800,2.4983623845785417,0.7045468417081009
2024-07-05,224.39617919921875,224.50523511983306,219.74645469045154,219.74645469045154,60412400,4.758780429381517,2.115949727296896
2024-07-08,225.86346435546875,225.89320550199054,221.3327047505454,225.13972278278513,59085900,4.560500751445147,0.32146329565391174
2024-07-09,226.71607971191406,227.42989753320916,224.4259205051531,225.97252074204383,48076100,3.003977028056056,0.32904840262371393
2024-07-10,230.9791259765625,231.0782732115439,227.28116405346748,227.33073767095817,62627700,3.7971091580764096,1.6048812153528744
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827102,64710600,6.563142009858296,-1.6508890079544973
2024-07-12,228.5601043701172,230.64207551688347,226.71607753741577,226.9540218514806,53046500,3.925997979467695,0.7076686747096328
2024-07-15,232.386962890625,235.1926606193721,231.0882156126273,234.44910163171727,62631300,4.104445006744811,-0.8795677725955058
2024-07-16,232.8033447265625,234.24088892580107,230.3347237014565,232.98179160349451,43234300,3.906165224344562,-0.07659262799202274
2024-07-17,226.9143524169922,229.47219684306242,224.6935843942369,227.47944931340314,57345900,4.778612448825527,-0.2484166803271991
2024-07-18,222.2547149658203,228.46096321097224,220.36112971273346,228.3023336745397,66034600,8.09983349823878,-2.6489517699546092
2024-07-19,222.38360595703125,224.8522270905052,221.36245288688534,222.88923571935766,49151500,3.4897742036198736,-0.22685248154516144
2024-07-22,222.03662109375,225.82380677595344,221.174082433242,225.06041535891617,48201800,4.649724342711437,-1.343547802639555
2024-07-23,223.07760620117188,224.9910392063895,220.7676144514488,222.44310313331528,39960300,4.223424754940709,0.28524285937349414
2024-07-24,216.66314697265625,222.86939506256107,215.2652677100796,222.0762625279836,61777600,7.60412735248147,-2.4375029972621456
2024-07-25,215.6221923828125,218.95333716975932,212.77682977395946,217.04981289629316,51391200,6.1765073957998595,-0.6577386519852848
2024-07-26,216.08816528320312,217.60502442671483,214.15489978899527,216.82180047841348,41601300,3.4501246377195685,-0.3383585938275584
2024-07-29,216.36575317382812,217.41664743865044,213.8971319294418,215.09674706599597,36311800,3.519515509208645,0.589969920578482
2024-07-30,216.9209442138672,218.43780333279796,214.26395224147618,217.3075942808937,41643800,4.1738510913217794,-0.17792754473492317
